Group,Task,Subtask,Description,Link,Team,Assignee,Start Date,End Date,Period,Status,Progress
Phase 1: 프로젝트 기획,,,,,,,2025-09-19,2025-09-25,6,완료,100%
,Task 1,요구사항 분석,반려동물 AI 건강 케어 플랫폼 기획,,,이유석,2025-09-19,2025-09-20,1,완료,100%
,,주제 선정,Fetpal - 반려동물 통합 케어 플랫폼 컨셉 수립,,,이유석,2025-09-19,2025-09-19,0,완료,100%
,,문제정의 및 솔루션 도출,사용자 페인포인트 분석 및 핵심 기능 정의,,,이유석,2025-09-19,2025-09-20,1,완료,100%
,Task 2,프로젝트 산출물 작성,기획서/ERD/시스템 흐름도/아키텍처 작성,,,이유석,2025-09-21,2025-09-25,4,완료,100%
,,기능/비기능 요구사항 작성,AI 건강진단 / 플래너 / 커뮤니티 등,,,이유석,2025-09-21,2025-09-23,2,완료,100%
,,시스템 아키텍처 설계,MSA 구조 / 기술 스택 선정,,,이유석,2025-09-22,2025-09-23,1,완료,100%
,,ERD 작성,데이터베이스 40개+ 테이블 설계,,,이유석,2025-09-23,2025-09-25,2,완료,100%
,,시스템 흐름도 작성,주요 기능별 프로세스 플로우 설계,,,이유석,2025-09-24,2025-09-25,1,완료,100%
,Task 3,UI/UX 디자인,와이어프레임 및 컴포넌트 설계,,,이유석,2025-09-22,2025-09-25,3,완료,100%
,,디자인 시스템 구축,Next.js 14 App Router 기반 설계,,,이유석,2025-09-22,2025-09-25,3,완료,100%
Phase 2: 백엔드 개발,,,,,,,2025-09-19,2025-09-25,6,완료,100%
,Task 4,Supabase 설정,프로젝트 생성 및 데이터베이스 초기화,,,이유석,2025-09-19,2025-09-20,1,완료,100%
,Task 5,데이터베이스 스키마 구현,40개+ 테이블 생성 (CamelCase),,,이유석,2025-09-21,2025-09-25,4,완료,100%
,,사용자/인증 테이블,profiles / profileCompletion,,,이유석,2025-09-21,2025-09-22,1,완료,100%
,,반려동물 테이블,palProfiles / palHealthRecords / vaccinations,,,이유석,2025-09-21,2025-09-22,1,완료,100%
,,커뮤니티 테이블,communityPosts / postTags / postLikes / events,,,이유석,2025-09-22,2025-09-23,1,완료,100%
,,플래너 테이블,plannerEvents / plannerExpenses,,,이유석,2025-09-23,2025-09-24,1,완료,100%
,Task 6,데이터베이스 로직 구현,PostgreSQL 함수/트리거/RLS 정책,,,이유석,2025-09-22,2025-09-25,3,완료,100%
,,함수 및 트리거 작성,프로필 자동 생성 / updatedAt,,,이유석,2025-09-22,2025-09-24,2,완료,100%
,,RLS 정책 적용,60개+ Row Level Security 정책,,,이유석,2025-09-23,2025-09-25,2,완료,100%
,Task 7,스토리지 설정,버킷 생성 및 접근 제어 정책,,,이유석,2025-09-24,2025-09-25,1,완료,100%
Phase 3: YOLO 데이터 수집,,,,,,,2025-09-19,2025-10-02,13,완료,100%
,Task 8,데이터셋 다운로드,AI-Hub 공공 데이터 668547개 이미지 수집,,,이유석,2025-09-19,2025-09-25,6,완료,100%
,,Skin 데이터 수집,피부질환 데이터 232253개 이미지,,,이유석,2025-09-19,2025-09-22,3,완료,100%
,,Eyes 데이터 수집,안구질환 데이터 217547개 이미지,,,이유석,2025-09-20,2025-09-23,3,완료,100%
