epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5575.69,2.50073,3.78978,1.94088,0.17411,0.04159,0.02929,0.01304,2.38787,3.59094,1.91457,0.00333319,0.00333319,0.00333319
2,11151.4,2.51379,3.58522,1.92727,0.40395,0.02601,0.02988,0.01361,2.37715,3.51033,1.91981,0.00644653,0.00644653,0.00644653
3,16890,2.55414,3.6554,1.97666,0.0447,0.02169,0.02525,0.01261,2.74068,4.70527,2.29947,0.00933987,0.00933987,0.00933987
4,22228.9,2.52831,3.60578,1.95496,0,0,0,0,3.3171,6.07436,2.6523,0.00901,0.00901,0.00901
5,27349.1,2.46702,3.49949,1.91054,0,0,0,0,3.33628,6.14183,2.65181,0.00868,0.00868,0.00868
6,32466.1,2.42703,3.43741,1.87977,0,0,0,0,3.22114,5.97452,2.61134,0.00835,0.00835,0.00835
7,37585.8,2.40794,3.39096,1.86092,0.12344,0.00044,0.06209,0.01931,3.02802,5.53943,2.51082,0.00802,0.00802,0.00802
8,42727.5,2.38449,3.35444,1.8465,0.0359,0.01284,0.02041,0.01024,2.80134,4.90153,2.3426,0.00769,0.00769,0.00769
9,47886.6,2.37176,3.3169,1.83048,0.02253,0.08037,0.01767,0.00878,2.59251,4.24426,2.16107,0.00736,0.00736,0.00736
10,53051.7,2.35963,3.28867,1.81751,0.01509,0.17397,0.02447,0.01208,2.44923,3.77996,2.02676,0.00703,0.00703,0.00703
11,58227.1,2.34464,3.25719,1.80888,0.33404,0.02322,0.03301,0.01615,2.36575,3.51373,1.94346,0.0067,0.0067,0.0067
12,63402.3,2.33438,3.22894,1.80019,0.31332,0.03615,0.03913,0.01876,2.31563,3.38258,1.88959,0.00637,0.00637,0.00637
13,68618.7,2.32149,3.20319,1.79318,0.28993,0.04669,0.04468,0.02134,2.28538,3.32517,1.8572,0.00604,0.00604,0.00604
14,73818,2.31259,3.17866,1.78048,0.26511,0.05651,0.04824,0.02294,2.26653,3.30345,1.8347,0.00571,0.00571,0.00571
15,79104,2.30016,3.14916,1.77035,0.25412,0.06511,0.05134,0.0244,2.25305,3.29256,1.81755,0.00538,0.00538,0.00538
16,84489.6,2.29038,3.12077,1.76533,0.24258,0.07301,0.05399,0.02558,2.24426,3.28425,1.80598,0.00505,0.00505,0.00505
17,89731.9,2.2735,3.08763,1.75419,0.23446,0.07812,0.05667,0.02679,2.23631,3.27494,1.79602,0.00472,0.00472,0.00472
18,94943.7,2.26937,3.0662,1.74329,0.2328,0.08484,0.05962,0.02828,2.2297,3.25923,1.78674,0.00439,0.00439,0.00439
19,100390,2.25255,3.03651,1.73359,0.2333,0.08929,0.0622,0.02952,2.22337,3.24738,1.77837,0.00406,0.00406,0.00406
20,106055,2.24306,2.99969,1.72622,0.22963,0.09401,0.06478,0.03046,2.21759,3.22643,1.7713,0.00373,0.00373,0.00373
21,111678,2.26143,3.01565,1.80008,0.2329,0.09759,0.06707,0.03166,2.21182,3.22111,1.76582,0.0034,0.0034,0.0034
22,116804,2.24431,2.96663,1.78778,0.2352,0.1008,0.06948,0.03279,2.20644,3.20793,1.76163,0.00307,0.00307,0.00307
23,121925,2.22434,2.92434,1.77207,0.23794,0.10434,0.07232,0.0343,2.20253,3.18507,1.75756,0.00274,0.00274,0.00274
24,127039,2.20813,2.87563,1.75493,0.24084,0.10794,0.07512,0.03556,2.19891,3.15491,1.75326,0.00241,0.00241,0.00241
25,132156,2.18739,2.8247,1.74187,0.24513,0.10957,0.07784,0.03667,2.19628,3.12229,1.74964,0.00208,0.00208,0.00208
26,137273,2.16563,2.77364,1.72418,0.25098,0.11232,0.08044,0.03792,2.19325,3.0865,1.74602,0.00175,0.00175,0.00175
27,142394,2.14478,2.71121,1.70458,0.25575,0.11523,0.08298,0.03891,2.19119,3.04998,1.7411,0.00142,0.00142,0.00142
28,147527,2.1188,2.65171,1.68517,0.25627,0.11905,0.08524,0.03995,2.18958,3.02112,1.73672,0.00109,0.00109,0.00109
29,153084,2.0968,2.58867,1.66535,0.26061,0.12162,0.08806,0.04097,2.18926,2.9939,1.73158,0.00076,0.00076,0.00076
30,158474,2.06918,2.52631,1.64533,0.25979,0.12529,0.09037,0.04197,2.19084,2.97016,1.72817,0.00043,0.00043,0.00043
